thelivechatsoftware.com,5,uncategorized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9823,1233,1,0,0,0,2,0,0,0
forrent.com,4,travel,1,5,3,0,0,1,1,0,11550,1642015,1227777,0,0,28612,747,0,22313,18205,14680,0,0,3580,2623,0,0,5,3,0,0,1,1,0,0,1642015,1227777,0,0,28612,747,0,0,18205,14680,0,0,3580,2623,0,46008,2910162,13,7703,0,1,4,1,0,1
seatgeek.com,4,sports,51,24,1,0,0,8,4,0,1777308,1976372,1257227,0,0,163296,164770,0,109046,69183,2091,0,0,11787,6627,0,51,24,1,0,0,8,3,0,1777308,1976372,1257227,0,0,163296,129466,0,109046,69183,2091,0,0,11787,4426,0,23775,5492622,107,93441,1592045,33,37,8,154940,8
womensappeal.com,3,uncategorized,77,35,12,0,0,7,2,0,1360889,615176,1546216,0,0,65465,352,0,742839,426472,94940,0,0,1435,942,0,77,35,12,0,0,7,2,0,1360889,615176,1546216,0,0,65465,352,0,742839,426472,94940,0,0,1435,942,0,32379,3776813,196,128222,195635,59,63,9,222812,9
westelm.com,3,shopping,181,44,7,0,0,18,5,0,1676704,2158249,588717,0,0,304979,550485,0,251574,56340,6986,0,0,18028,6009,0,179,41,7,0,0,17,5,0,1621264,2151591,588717,0,0,182565,550485,0,248615,50847,6986,0,0,17458,6009,0,35244,5538022,378,285830,1553145,108,117,20,258888,20
doordash.com,2,uncategorized,35,30,1,0,4,19,18,0,801694,4642154,195988,0,0,31412,107,0,373512,358535,2790,0,43841,318524,250657,0,35,30,1,0,4,17,18,0,801694,4642154,195988,0,0,31412,107,0,373512,358535,2790,0,43841,288233,250657,0,80027,5742614,144,748196,1254215,49,54,13,71612,13
dessertcount.com,5,uncategorized,0,0,0,0,0,1,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8883,461,1,0,0,0,2,0,0,0
clearlink.com,4,uncategorized,22,15,5,0,0,3,0,0,150079,572167,176162,0,0,12260,0,0,156521,86310,16575,0,0,11674,0,0,22,13,5,0,0,3,0,0,150079,479736,176162,0,0,12260,0,0,156521,74128,16575,0,0,11674,0,0,53977,1078512,57,109695,558791,15,19,9,167844,9
marchex.io,4,uncategorized,3,4,3,0,0,4,0,0,12924,1614053,293803,0,0,3748,0,0,9858,22313,6233,0,0,13542,0,0,3,4,3,0,0,4,0,0,12924,1614053,293803,0,0,3748,0,0,9858,22313,6233,0,0,13542,0,0,35565,2062536,20,21972,66072,4,6,4,137808,4
audiogon.com,4,uncategorized,32,14,5,0,0,4,4,0,6628116,1166659,468110,0,0,126766,8695,0,462754,96107,25123,0,0,10383,18871,0,32,14,5,0,0,4,4,0,6628116,1166659,468110,0,0,126766,8695,0,462754,96107,25123,0,0,10383,18871,0,74052,8555750,78,148449,1227399,31,33,5,275780,5
bookbub.com,3,business,28,14,3,0,0,3,0,0,660747,1418668,280781,0,0,50757,0,0,134982,60239,9186,0,0,11289,0,0,28,14,3,0,0,3,0,0,660747,1418668,280781,0,0,50757,0,0,134982,60239,9186,0,0,11289,0,0,35739,2703363,63,106201,1470188,23,25,11,292410,11
dailycaller.com,1,uncategorized,462,201,26,0,0,64,19,0,3094450,4612975,548220,0,0,479914,191294,0,183700,67929,7125,0,0,17443,11652,0,462,201,25,0,0,64,19,0,3094450,4612975,443563,0,0,479914,191294,0,183700,67929,6987,0,0,17443,11652,0,136,10397482,1160,203734,2639213,272,281,65,1470323,65
securepccleaner.com,3,uncategorized,21,4,5,0,0,1,0,0,468598,178556,227887,0,0,26513,0,0,98404,22295,15179,0,0,1476,0,0,20,4,5,0,0,0,0,0,453003,178556,227887,0,0,0,0,0,94712,22295,15179,0,0,0,0,0,54363,994214,34,11134,43082,1,4,3,92660,3
merriam-webster.com,1,education,118,47,5,0,0,8,9,0,1355496,2790203,548331,0,0,128683,14685,0,388418,212921,12272,0,0,24895,10007,0,118,46,4,0,0,7,9,0,1355496,2777700,38515,0,0,33924,14685,0,388418,211032,9562,0,0,24400,10007,0,35198,5208267,238,376519,1116778,81,87,25,1171800,25
wikimedia.org,2,uncategorized,16,0,1,0,0,1,0,0,205703,0,6292,0,0,7836,0,0,64867,0,3538,0,0,1805,0,0,14,0,0,0,0,1,0,0,157727,0,0,0,0,7836,0,0,53841,0,0,0,0,1805,0,0,17546,219831,19,0,0,0,5,0,0,0
focusgroup.com,5,uncategorized,33,31,21,0,0,4,1,0,307231,3132286,782891,0,0,133029,92,0,34418,39900,16971,0,0,9843,1414,0,33,31,21,0,0,3,1,0,307231,3132286,782891,0,0,100310,92,0,34418,39900,16971,0,0,3571,1414,0,27246,4470161,95,21754,618679,12,15,4,114632,4
getmetrical.com,1,business,22,5,8,0,0,1,1,0,799212,550008,55359,0,0,10943,193,0,105802,9440,65157,0,0,822,1396,0,22,4,8,0,0,0,1,0,799212,348826,55359,0,0,0,193,0,105802,8503,65157,0,0,0,1396,0,78816,2062737,57,22548,336719,7,10,21,647664,21
payetteforward.com,3,newsandmedia,88,28,17,0,0,3,2,0,1263519,1046259,817558,0,0,255488,1863,0,282724,110551,22038,0,0,7972,6116,0,88,28,17,0,0,2,2,0,1263519,1046259,817558,0,0,66928,1863,0,282724,110551,22038,0,0,7185,6116,0,93600,3611317,151,150083,870838,21,23,9,226630,9
computershare.com,3,business,22,22,4,0,0,1,0,0,631042,1342355,810686,0,0,96640,0,0,89969,77750,8654,0,0,1941,0,0,22,22,4,0,0,1,0,0,631042,1342355,810686,0,0,96640,0,0,89969,77750,8654,0,0,1941,0,0,51581,2959724,52,2399,35,1,3,1,79001,1
cabelas.com,1,shopping,150,44,8,0,0,17,1,0,1878218,2222160,635968,0,0,176392,72,0,1035945,185712,36329,0,0,99791,473,0,148,43,8,0,0,15,1,0,1854989,2129408,635968,0,0,59188,72,0,1023770,183129,36329,0,0,99127,473,0,83363,5710289,286,184355,593348,59,66,24,864507,24
pressofatlanticcity.com,3,newsandmedia,40,24,12,0,0,1,1,0,4224572,579474,266825,0,0,622766,63,0,379796,97444,50981,0,0,1308,330,0,40,24,12,0,0,0,1,0,4224572,579474,266825,0,0,0,63,0,379796,97444,50981,0,0,0,330,0,19566,5667596,95,32234,67700,6,10,0,0,0
mynewsletterbuilder.com,2,business,6,7,4,0,0,1,0,0,134362,501600,124834,0,0,10570,0,0,61050,44065,9890,0,0,1574,0,0,6,7,4,0,0,1,0,0,134362,501600,124834,0,0,10331,0,0,61050,44065,9890,0,0,1072,0,0,37844,961752,26,48512,329530,6,8,7,190396,7
office.com,1,shopping,12,15,2,0,4,3,0,0,129659,536503,298726,0,0,77970,0,0,146433,98728,9541,0,9062,6304,0,0,11,10,2,0,4,2,0,0,124779,455108,269981,0,0,76055,0,0,131635,63531,9541,0,9062,4064,0,0,21616,1199976,48,1110,0,1,14,9,263797,10
evernote.com,4,business,35,14,2,0,0,3,2,1,849543,769564,322804,0,0,105885,622,1647542,390557,55634,5586,0,0,19611,11939,13607,34,14,1,0,0,3,2,1,525598,769564,114112,0,0,105885,622,1647542,378950,55634,2701,0,0,19611,11939,13607,70634,3603048,66,99882,117381,18,23,2,36324,2
amerimark.com,4,shopping,30,19,14,0,0,5,1,0,1442368,596065,278085,0,0,90770,70,0,151902,48372,77928,0,0,5049,133,0,30,18,14,0,0,4,1,0,1442368,596008,278085,0,0,25,70,0,151902,48372,77928,0,0,4061,133,0,24180,2731424,88,39291,566873,20,23,16,334991,16
swansonvitamins.com,3,shopping,47,29,6,0,0,6,3,0,949815,1255271,435099,0,0,230888,4379,0,253063,132630,17660,0,0,20820,15763,0,46,29,6,0,0,5,3,0,891333,1255271,435099,0,0,30085,4379,0,248925,132630,17660,0,0,19506,15763,0,54611,2851264,95,140244,439876,22,25,2,0,2
rejuvenation.com,1,shopping,39,24,3,0,0,4,14,0,2696769,3296307,473167,0,0,258170,47568,0,573555,94517,4844,0,0,7178,14882,0,39,24,3,0,0,3,14,0,2696769,3296307,473167,0,0,58155,47568,0,573555,94517,4844,0,0,5580,14882,0,93452,6752027,86,107142,2833265,26,28,3,41752,3
